Album URL,Album Caption,Img URL,Img caption,DON,Notes
http://www.acmssearch.sl.nsw.gov.au//search/itemDetailPaged.cgi?itemID=71660,Bilgola cottage,,,,
,,http://www.acmssearch.sl.nsw.gov.au//search/itemPopLarger.cgi?itemID=71660,"""Bilgola"" cottage",a105043,
http://www.acmssearch.sl.nsw.gov.au//search/itemDetailPaged.cgi?itemID=72937,"Lewisham Private Hospital ; Baptist Church, Lewisham",,,,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796553&size=full&album=1&collection=823304&parent=72937,"""Lewisham"" Private Hospital
Digital Order Number: a105504",a105504,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796554&size=full&album=1&collection=823304&parent=72937,"Lewisham Hospital
Digital Order Number: a105505",a105505,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796555&size=full&album=1&collection=823304&parent=72937,"Baptist Church, Lewisham
Digital Order Number: a105506",a105506,
http://www.acmssearch.sl.nsw.gov.au//search/itemDetailPaged.cgi?itemID=72123,Pleasureland Cowan Creek,,,,
,,http://www.acmssearch.sl.nsw.gov.au//search/itemPopLarger.cgi?itemID=72123,"""Pleasureland"" Cowan Creek",a105189,
http://www.acmssearch.sl.nsw.gov.au//search/itemDetailPaged.cgi?itemID=75111,"Sonoma, Wamberal, N.S.W.",,,,
,,http://www.acmssearch.sl.nsw.gov.au//search/itemPopLarger.cgi?itemID=75111,"""Sonoma"", Wamberal, N.S.W.",a106373,
http://www.acmssearch.sl.nsw.gov.au//search/itemDetailPaged.cgi?itemID=74798,Urunga,,,,
,,http://www.acmssearch.sl.nsw.gov.au//search/itemPopLarger.cgi?itemID=74798,"""Urunga""",a106337,
http://www.acmssearch.sl.nsw.gov.au//search/itemDetailPaged.cgi?itemID=72316,"[Anniversary celebrations 1770-1921, Captain Cook's Monument, Kurnell]",,,,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796479&size=full&album=1&collection=823296&parent=72316,"The Flagstaff, Kurnell
Digital Order Number: a105430",a105430,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796480&size=full&album=1&collection=823296&parent=72316,"The Pier, Kurnell
Digital Order Number: a105431",a105431,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796481&size=full&album=1&collection=823296&parent=72316,"Captain Cook's Monument, Kurnell
Digital Order Number: a105432",a105432,
http://www.acmssearch.sl.nsw.gov.au//search/itemDetailPaged.cgi?itemID=74783,"[Beach and town, Thirroul, N.S.W.]",,,,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796916&size=full&album=1&collection=823369&parent=74783,"Main Road, Thirroul
Digital Order Number: a106303",a106303,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796917&size=full&album=1&collection=823369&parent=74783,"Main Road, Thirroul
Digital Order Number: a106304",a106304,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796918&size=full&album=1&collection=823369&parent=74783,"Thirroul Beach
Digital Order Number: a106305",a106305,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796919&size=full&album=1&collection=823369&parent=74783,"A Holiday, Thirroul
Digital Order Number: a106306",a106306,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796920&size=full&album=1&collection=823369&parent=74783,"Children's Corner, Thirroul
Digital Order Number: a106307",a106307,
